iter	Passed	Remaining
0	354	35067
1	449	22033
2	545	17644
3	634	15223
4	797	15161
5	896	14050
6	995	13226
7	1096	12613
8	1312	13266
9	1412	12711
10	1503	12164
11	1595	11698
12	1699	11374
13	1795	11029
14	1884	10678
15	1971	10350
16	2059	10055
17	2156	9823
18	2249	9589
19	2340	9363
20	2428	9137
21	2514	8916
22	2600	8705
23	2683	8497
24	2770	8310
25	2856	8128
26	2942	7955
27	3028	7787
28	3115	7626
29	3199	7465
30	3284	7311
31	3369	7160
32	3455	7014
33	3537	6867
34	3623	6730
35	3706	6589
36	3792	6457
37	3879	6330
38	3965	6202
39	4052	6078
40	4139	5957
41	4227	5838
42	4314	5719
43	4398	5598
44	4484	5480
45	4569	5364
46	4653	5247
47	4738	5133
48	4825	5022
49	4909	4909
50	4993	4797
51	5079	4688
52	5160	4575
53	5244	4467
54	5331	4362
55	5417	4256
56	5498	4148
57	5585	4044
58	5670	3940
59	5804	3869
60	5889	3765
61	5974	3662
62	6060	3559
63	6143	3455
64	6230	3355
65	6314	3252
66	6399	3151
67	6484	3051
68	6569	2951
69	6654	2851
70	6739	2752
71	6823	2653
72	6912	2556
73	7004	2460
74	7092	2364
75	7178	2267
76	7263	2169
77	7352	2073
78	7437	1977
79	7519	1879
80	7603	1783
81	7687	1687
82	7772	1591
83	7855	1496
84	7941	1401
85	8025	1306
86	8107	1211
87	8192	1117
88	8276	1022
89	8362	929
90	8446	835
91	8531	741
92	8615	648
93	8698	555
94	8780	462
95	8869	369
96	8953	276
97	9041	184
98	9127	92
99	9212	0
